batiment_groupe_id,s_geom_groupe
24322000AI0017_3c1df23a99b5fd7,81
24322000AI0018_874ed6882701eb7,101
24322000AI0019_55cb532990f3665,60
24322000AI0019_f6ade81a576933d,20
24322000AI0022_13e0bb621494b25,47
24322000AI0029_81e1cfc6b2e68a3,38
24322000AI0031_40201e958bacd9d,63
24322000AI0032_f5ce9cea99de3b4,99
24322000AI0033_5f93b271777c10b,45
24322000AI0034_68ca6defc173ba3,115
24322000AI0036_e6f614bd06b86ad,17
24322000AI0037_96ce80deceb2745,41
24322000AI0038_067d66bced6a3f2,44
24322000AI0041_271c88fc903a74d,64
24322000AI0046_16d0ce98cdba775,51
24322000AI0047_2089998b3054216,40
24322000AI0051_9d80916dbd50f9a,19
24322000AI0052_e74eaf760c4eae3,18
24322000AI0063_d2ac84beee624cb,65
24322000AI0064_e18f70837173ad8,79
24322000AI0065_e661456a302c573,115
24322000AI0066_6928aafd479916b,41
24322000AI0067_79ceba519fae6a1,52
24322000AI0068_56db3626e098b80,73
24322000AI0069_2065397f88f1da0,47
24322000AI0071_55124108ac7a78d,129
24322000AI0072_f1bea9bd99b01ba,106
24322000AI0073_c2ffa7aaeed00af,95
24322000AI0074_05ff6c7c8782e73,71
24322000AI0075_089e9a6e3cfdf61,110
24322000AI0076_9d4f2cb618ac335,207
24322000AI0078_3c64bdd6fa76560,107
24322000AI0083_90fe7797452d6d8,160
24322000AI0084_7da70e90ce28a6e,124
24322000AI0085_ae3ff7582ff7f44,82
24322000AI0088_74648c17d3272ce,84
24322000AI0089_06503e57cbda852,79
24322000AI0090_210e76baa3609f9,40
24322000AI0091_f8e650fe93a95e7,113
24322000AI0092_eb524448b6b65cc,78
24322000AI0093_5395a534eb2f9c3,104
24322000AI0094_af987e55395019e,71
24322000AI0095_300820f190ca447,28
24322000AI0097_8d026e889bb2e12,100
24322000AI0098_370a7b567a1317a,56
24322000AI0099_3a5d3fe45bb55fd,227
24322000AI0100_28849d31608a36f,55
24322000AI0101_5280c825100d794,58
24322000AI0105_04e4f1d125bc695,113
24322000AI0106_ea78d2100fa667f,39
24322000AI0107_10fd9dbc3df1150,240
24322000AI0109_8cc9326812233b6,144
24322000AI0112_5123aa692e17f78,134
24322000AI0113_2b40ef0bf284fd1,128
24322000AI0113_8624d0b421b22e2,208
24322000AI0115_69cc37f3d88c25b,103
24322000AI0118_d34deb0dfaf3b88,80
24322000AI0122_01a2a730c00e951,91
24322000AI0123_230977d4f345a47,138
24322000AI0124_681e590ad95c31f,82
24322000AI0125_fde39f2e8850b18,122
24322000AI0126_b0d3fd96448eb3b,101
24322000AI0127_2dc26b94a07d0bd,95
24322000AI0142_5c7884a211a147b,91
24322000AI0157_6cab0d351edb745,171
24322000AI0164_ded97e88f9fdd08,21
24322000AI0165_6ac0bb0b6c89312,18
24322000AI0191_3ee830486ed6dad,196
24322000AI0194_0f044415e0eae48,86
24322000AI0196_b28a160e4aaf12c,134
24322000AI0201_7294e0b8609876e,47
24322000AI0202_6aa5f92a0847513,161
24322000AI0232_14c61c436f14c87,99
24322000AI0232_b37ddef222b00e7,66
24322000AI0233_ec141b7f2f228ed,209
24322000AI0234_00375877eb31502,85
24322000AI0235_99c023ce80fc1e6,97
24322000AI0240_938ba1536356943,112
24322000AI0271_a6bfe780305eeec,4222
24322000AI0279_b6eda4dd2cab659,45
24322000AI0280_cb737262aad48ef,54
24322000AI0291_3437ae86c495e15,57
24322000AI0292_c023152234def91,96
24322000AI0294_fa57c23b9fd42d5,156
24322000AI0295_3dce75eb90ac131,135
24322000AI0296_9ca690b974ed430,65
24322000AI0337_08ba0b9fc4a8351,20
24322000AI0337_bd82bf3e35adedb,56
24322000AK0023_0bcbe5cd5950a82,40
24322000AK0050_905260178393ac9,127
24322000AK0099_8151da6f5862a07,314
24322000AK0145_8e87bcfa47e2b4c,55
24322000AK0147_f184b390454af6a,33
24322000AK0162_ebeee9651379f32,159
24322000AK0185_3e9f0b54f527521,
24322000AK0187_4d317eccb3fff28,94
24322000AK0190_e88d605a0f463c2,137
24322000AK0195_72531bb480ab521,69
24322000AK0281_4eafd68fa7ad889,92
24322000AK0282_bb04745d7401786,98
24322000AK0283_4c09d04c55b2dfe,97
24322000AK0284_a2ab9e9caf6a8cd,99
24322000AK0285_f75386c3c8e4922,115
24322000AK0286_4ee98d05c349a7d,120
24322000AK0287_9dc97003410d783,122
24322000AK0288_ef669747ade243c,111
24322000AK0289_9c54a0068a78aca,105
24322000AK0290_2d7ff43abd23b0f,128
24322000AK0291_4cfdc067770799e,157
24322000AK0292_c34f376a1c7ceab,124
24322000AK0293_aef0c5c10542479,188
24322000AK0294_be566488490368e,120
24322000AK0295_b30471bb7e433fe,134
24322000AK0296_1c27081b54be173,116
24322000AK0297_6f2debd795dc25c,129
24322000AK0298_f4bc1ec7d51cd90,148
24322000AK0299_ecc9bab863c4ec2,133
24322000AK0300_5e1b6e16d9641b6,115
24322000AK0301_fb5a29ad61ed793,133
24322000AK0302_5c9599cb7446536,92
24322000AK0303_32e42b013f5380a,121
24322000AK0304_03e840ee0ba3b45,148
24322000AK0305_b37b03a3c4f1f0c,128
24322000AK0306_279cc60230db98c,168
24322000AK0307_e484d4d2c470832,89
24322000AK0308_ff2a17bd35e1828,116
24322000AK0309_eec4f4ece5d09bd,107
24322000AK0310_e5d74c658a6dc32,103
24322000AK0311_d8dd4d605f21bc8,160
24322000AK0312_e74f623405a5984,121
24322000AK0313_40e7e1ca1d31e14,115
24322000AK0314_6da836ea2e63aea,84
24322000AK0315_65fe8102199dfc9,119
24322000AK0316_3a07a00f46894ff,122
24322000AK0317_13d0b1e64187f64,156
24322000AK0318_64016719e40edbe,163
24322000AK0319_6fb0f49b4671df1,233
24322000AK0320_cdb61eb2b50cf51,169
24322000AK0321_0663a0423c89291,121
24322000AK0322_108a227c04e0b9c,138
24322000AK0323_814169ab7084ef8,155
24322000AK0324_2ca0a8fcd5bc11a,142
24322000AK0325_cb028e254b6c94a,129
24322000AK0326_9dffb59534d4325,160
24322000AK0327_29981c3fd61f8c4,111
24322000AK0328_cb7d089ed40b564,108
24322000AK0329_073dca87849897b,127
24322000AK0330_749e56af90143a6,86
24322000AK0331_88ed9c869727a70,88
24322000AK0332_de5fbeb2bc5fab5,108
24322000AK0333_c24c72de1bb8c25,153
24322000AK0334_d3a335e6e1aa08d,107
24322000AK0335_b0baab7b846e865,118
24322000AK0336_7ec6777dc40f3f4,121
24322000AK0337_7c596fc368a34f3,123
24322000AK0338_b4533439d4b0c30,124
24322000AK0339_fe9059aaf6756ab,163
24322000AK0340_4206403e9585bb4,122
24322000AK0341_55340de71127bc2,203
24322000AK0342_46c58a6e0e5f621,112
24322000AK0343_1e6d98180495c2a,177
24322000AK0344_debc724dcc62831,138
24322000AK0345_a81f2288362f572,128
24322000AK0346_6a86389f5ce74c3,178
24322000AK0347_7ff3de8a38eb81c,159
24322000AK0348_b3d7802511fe505,141
24322000AK0351_70bea09427175e8,161
24322000AK0352_09dc07506af6f0d,145
24322000AK0353_b68b8293546cf90,135
24322000AK0354_247e66d2012783b,154
24322000AK0355_6a70652a7a54f4c,153
24322000AK0356_3953d15ef4893a2,262
24322000AK0357_74d606c31fffb50,166
24322000AK0358_583dfa4d34d4d4d,135
24322000AK0359_3ed7e359ce244b6,172
24322000AK0360_5e5af9cb750b3ce,144
24322000AK0361_9a7caa3dbbce284,102
24322000AK0362_bbb77c6c34599fe,139
24322000AK0363_65aaa015b60aa8b,158
24322000AK0364_fcac220fb0b1341,170
24322000AK0365_4d48ef8aa423c1a,168
24322000AK0366_bb43a06bb4d9e77,185
24322000AK0369_5b18a5eacece86e,144
24322000AK0370_35e92e19e7efa98,181
24322000AK0371_d51a9ae0d8dc9eb,134
24322000AK0381_0afb7bba21a5f57,196
24322000AK0444_0ac2d5d7aa58d4f,229
24322000AK0458_03e59f763f4bfd0,17
24322000AK0459_1ca0b6299825eb1,63
24322000AK0477_9e574ff3d476b23,133
24322000AK0497_4f1f3c828d4a614,193
24322000AK0512_dafe10607c49cfe,117
24322000AK0574_59e7294b504c910,292
24322000AK0583_180f4424a67903c,862
24322000AK0587_a432d74cff5f3a2,117
24322000AK0590_aeb6fe3d98e8d2e,43
24322000AK0602_d7190a9c5e79ceb,113
24322000AK0633_5a60ab812ec013c,112
24322000AK0634_7bb1ee35e2f1689,13
24322000AK0646_b4fb66d9090adbb,139
24322000AK0668_646cea32a6c86f8,81
24322000AK0669_5accc8bd0215bc3,158
24322000AK0699_bb74e981bdfcde4,140
24322000AK0700_fd17a06faf31993,136
24322000AK0701_c955ad4aaad8b1a,245
24322000AK0707_115a0f4ef377e7a,216
24322000AK0712_978b720c5ec1121,83
24322000AK0738_65c68970c7702b2,33
24322000AK0752_882f82f79b0e9ef,
24322000AK0759_98a993f451b3871,
24322000AL0001_3ad3a0f59eb9f9f,72
24322000AL0003_5d33a220a33c448,1038
24322000AL0005_243d42b0e2ac996,47
24322000AL0006_5c285861c1adf16,68
24322000AL0007_0e4d14b5a8513d9,86
