fid,batiment_c,batiment_g,code_depar,code_iris,code_commu,s_geom_cst,hauteur,altitude_s,fictive_ge
75972,BATIMENT0000000240754629-1,75111000BC0016_55079be92b9f88b,"75","751114206","75056","149",6.700000000000000,35.000000000000000,"0"
75973,BATIMENT0000000240754630-1,75111000BC0016_55079be92b9f88b,"75","751114206","75056","642",19.899999999999999,35.000000000000000,"0"
75974,BATIMENT0000000240754631-4,75111000BC0016_55079be92b9f88b,"75","751114206","75056","287",19.899999999999999,35.000000000000000,"0"
75975,BATIMENT0000000240757109-2,75111000BC0024_9a2587650f65972,"75","751114206","75056","176",17.300000000000001,34.399999999999999,"0"
75976,BATIMENT0000000253249596-3,75111000BC0024_9a2587650f65972,"75","751114206","75056","163",11.400000000000000,34.000000000000000,"0"
75977,BATIMENT0000000253249597-1,75111000BC0025_cfe13b9b9cd3049,"75","751114206","75056","282",7.900000000000000,30.000000000000000,"0"
75978,BATIMENT0000000253249602-1,75111000BC0025_cfe13b9b9cd3049,"75","751114206","75056","176",16.399999999999999,30.000000000000000,"0"
75979,BATIMENT0000000309676125-2,75111000BC0025_cfe13b9b9cd3049,"75","751114206","75056","222",17.000000000000000,30.899999999999999,"0"
75980,BATIMENT0000000240757111-1,75111000BC0026_a8473988e1599ca,"75","751114206","75056","30",5.600000000000000,33.100000000000001,"0"
75981,BATIMENT0000000240757112-3,75111000BC0026_a8473988e1599ca,"75","751114206","75056","628",5.600000000000000,33.100000000000001,"0"
75982,BATIMENT0000000253249603-2,75111000BC0026_a8473988e1599ca,"75","751114206","75056","317",4.700000000000000,33.000000000000000,"0"
75983,BATIMENT0000000309676124-2,75111000BC0026_a8473988e1599ca,"75","751114206","75056","1568",18.399999999999999,33.100000000000001,"0"
75984,BATIMENT0000000245186039-2,75111000BE0029_f2c571683acc086,"75","751114207","75056","331",15.500000000000000,34.799999999999997,"0"
75985,BATIMENT0000000245186042-1,75111000BE0029_f2c571683acc086,"75","751114207","75056","21",15.800000000000001,34.700000000000003,"0"
75986,BATIMENT0000000245187412-2,75111000BE0046_0a861185d912aa8,"75","751114207","75056","24",6.000000000000000,35.000000000000000,"0"
